LE,CUSTOMERACCOUNT,ADDRESSZIPCODE
NA1,11618576,10005
NA1,11618591,10005
NA1,11618594,10005
NA1,11618597,10023
NA1,11618599,10032
NA1,11618602,10005
NA1,11618604,10028
NA1,11618609,10005
NA1,11618613,10011
NA1,11618616,10005
NA1,11618621,10005
NA1,11618624,10005
NA1,11618626,10013
NA1,11618628,10011
NA1,11618632,10005
NA1,11618636,10005
NA1,11618641,10005
NA1,11618644,10005
NA1,11618645,22008
NA1,11618647,10007
NA1,11618649,10005
NA1,11618650,10005
NA1,11618656,10005
NA1,11618659,10005
NA1,11618663,10005
NA1,11618668,10005
NA1,11618671,10005
NA1,11618674,10005
NA1,11618680,10021
NA1,11618685,13007
NA1,11618690,10005
NA1,11618692,10005
NA1,11618712,10021
NA1,11618717,10005
NA1,11618721,10018
NA1,11618723,10012
NA1,11618735,10005
NA1,11618738,10005
NA1,11618740,10005
NA1,11618743,10005
NA1,11618754,10005
NA1,11618760,10005
NA1,11618763,10005
NA1,11618765,10005
NA1,11618766,10005
NA1,11618772,10021
NA1,11618774,10005
NA1,11618776,10028
NA1,11618793,12004
NA1,11618805,10021
NA1,11618818,10005
NA1,11618820,10005
NA1,11618821,10005
NA1,11618823,10007
NA1,11618828,10005
NA1,11618835,10005
NA1,11618837,10028
NA1,11618850,10005
NA1,11618854,10021
NA1,11618856,10005
NA1,11618857,10005
NA1,11618864,10028
NA1,11618866,10005
NA1,11618870,10007
NA1,11618874,10005
NA1,11618875,22008
NA1,11618878,10005
NA1,11618886,10005
NA1,11618896,10005
NA1,11618901,22008
NA1,11618903,10009
NA1,11618906,10005
NA1,11618908,13007
NA1,11618910,10005
NA1,11618913,10005
NA1,11618916,10005
NA1,11618918,10005
NA1,11618920,10005
NA1,11618922,10007
NA1,11618925,10028
NA1,11618929,10005
NA1,11618930,10005
NA1,11618933,10012
NA1,11618936,10005
NA1,11618940,10005
NA1,11618941,10005
NA1,11618946,10005
NA1,11618949,10012
NA1,11618954,10011
NA1,11618957,10005
NA1,11618959,10005
NA1,11618961,10005
NA1,11618964,10005
NA1,11618967,22008
NA1,11618969,10005
NA1,11618970,22008
NA1,11618975,10005
NA1,11618978,10005
NA1,11618982,10005
NA1,11618989,10005
NA1,11619000,10005
NA1,11619003,10021
NA1,11619007,10007
NA1,11619013,10005
NA1,11619017,10021
NA1,11619026,10018
NA1,11619029,10005
NA1,11619036,10005
NA1,11619037,10005
NA1,11619042,10032
NA1,11619045,10005
NA1,11619048,10005
NA1,11619056,10005
NA1,11619058,10005
NA1,11619059,10005
NA1,11619060,10005
NA1,11619064,10021
NA1,11619070,10012
NA1,11619073,10005
NA1,11619080,10005
NA1,11619082,10005
NA1,11619085,10005
NA1,11619087,10005
NA1,11619090,22008
NA1,11619094,10005
NA1,11619096,22008
NA1,11619102,10005
NA1,11619104,10005
NA1,11619105,10005
NA1,11619114,10005
NA1,11619120,10005
NA1,11619122,10001
NA1,11619127,10011
NA1,11619129,10011
NA1,11619135,10005
NA1,11619137,10005
NA1,11619139,10005
NA1,11619140,10017
NA1,11619143,10005
NA1,11619150,10005
NA1,11619153,10018
NA1,11619155,10005
NA1,11619159,10018
NA1,11619161,10005
NA1,11619162,10005
NA1,11619163,22008
NA1,11619178,10001
NA1,11619180,12004
NA1,11619185,10028
NA1,11619189,10005
NA1,11619190,10018
NA1,11619193,10005
NA1,11619198,10005
NA1,11619201,10005
NA1,11619204,10005
NA1,11619211,10005
NA1,11619216,10005
NA1,11619219,10005
NA1,11619223,10012
NA1,11619225,10021
NA1,11619229,10005
NA1,11619232,13007
NA1,11619236,12004
NA1,11619240,10005
NA1,11619243,10005
NA1,11619245,10005
NA1,11619251,13007
NA1,11619257,10005
NA1,11619259,12004
NA1,11619262,10005
NA1,11619277,10005
NA1,11619282,10005
NA1,11619289,10005
NA1,11619291,12004
NA1,11619296,12004
NA1,11619299,10007
NA1,11619305,10005
NA1,11619308,10031
NA1,11619312,10005
NA1,11619313,10005
NA1,11619318,10005
NA1,11619320,10005
NA1,11619322,10005
NA1,11619325,10005
NA1,11619328,10001
NA1,11619337,10005
NA1,11619339,10005
NA1,11619343,10021
NA1,11619345,10012
NA1,11619352,10007
NA1,11619354,10028
NA1,11619359,10005
NA1,11619361,22008
NA1,11619365,10021
NA1,11619368,10005
NA1,11619372,10021
NA1,11619374,10021
NA1,11619379,10005
NA1,11619382,10009
NA1,11619385,10028
NA1,11619391,10005
NA1,11619392,10005
NA1,11619398,10005
NA1,11619399,10005
NA1,11619406,10005
NA1,11619407,10005
NA1,11619418,10005
NA1,11619420,10005
NA1,11619425,10011
NA1,11619428,10018
NA1,11619431,10021
NA1,11619434,10005
NA1,11619437,10005
NA1,11619442,10001
NA1,11619444,10021
NA1,11619448,10005
NA1,11619458,10005
NA1,11619459,10005
